CustomerID,Amount,Frequency,Recency,ClusterID
12346.0,0.0,2,325,0
12347.0,4309.999999999997,182,1,1
12348.0,1797.24,31,74,2
12349.0,1757.55,73,18,2
12350.0,334.40000000000003,17,309,0
12352.0,1545.4100000000005,95,35,2
12353.0,89.0,4,203,0
12354.0,1079.4,58,231,0
12355.0,459.4,13,213,0
12356.0,2811.4300000000007,59,22,2
12357.0,6207.669999999996,131,32,1
12358.0,1168.06,19,1,2
12359.0,6245.530000000006,254,7,1
12360.0,2662.0600000000004,129,51,2
12361.0,189.89999999999998,10,286,0
12362.0,5154.580000000002,274,2,1
12363.0,552.0,23,109,2
12364.0,1313.1000000000001,85,7,2
12365.0,320.69,23,290,0
12367.0,168.9,11,3,2
12370.0,3545.689999999998,167,50,1
12371.0,1887.9600000000003,63,44,2
12372.0,1298.0400000000002,52,71,2
12373.0,364.6,14,310,0
12374.0,742.93,33,24,2
12375.0,455.42000000000013,18,2,2
12377.0,1628.1199999999997,77,314,0
12378.0,4008.6200000000013,219,129,1
12379.0,850.2899999999996,41,81,2
12380.0,2720.56,105,21,2
12381.0,1803.9600000000005,91,4,2
12383.0,1839.3099999999997,100,184,0
12384.0,566.16,30,28,2
12386.0,401.90000000000003,10,337,0
12388.0,2780.6600000000003,100,15,2
12390.0,549.8399999999999,32,79,2
12391.0,460.88999999999993,100,21,2
12393.0,1582.6000000000004,64,71,2
12394.0,1272.48,27,63,2
12395.0,2998.279999999999,159,15,2
12397.0,2409.9000000000005,126,35,2
12398.0,1635.6599999999999,85,45,2
12399.0,1108.65,59,118,2
12401.0,84.3,5,302,0
12402.0,225.6,11,322,0
12403.0,409.7,6,49,2
12405.0,1710.3900000000006,54,148,2
12406.0,3280.7500000000014,108,21,2
12407.0,1708.1199999999997,77,49,2
12408.0,2842.57,113,32,2
12409.0,11056.930000000004,114,78,1
12410.0,681.0799999999999,28,300,0
12412.0,1226.8799999999999,61,74,2
12413.0,694.15,40,66,2
12414.0,562.41,18,216,0
12417.0,3578.8,198,2,1
12418.0,668.5799999999997,34,112,2
12420.0,600.3900000000001,29,63,2
12421.0,806.2700000000002,46,15,2
12422.0,803.5599999999998,39,95,2
12423.0,1849.1100000000001,126,0,2
12424.0,1760.9599999999998,30,162,0
12425.0,777.1999999999999,36,77,2
12426.0,582.7299999999999,30,194,0
12427.0,708.3700000000001,35,11,2
12428.0,7877.200000000004,300,25,1
12429.0,3750.400000000001,97,8,2
12430.0,256.4,11,42,2
12431.0,6416.389999999999,240,35,1
12432.0,5059.3200000000015,108,42,1
12433.0,13375.869999999992,420,0,1
12434.0,765.1899999999999,54,84,2
12435.0,7829.889999999998,36,79,1
12436.0,509.01000000000005,16,99,2
12437.0,4896.659999999998,201,1,1
12438.0,2906.8500000000004,98,13,2
12441.0,173.55,11,366,0
12442.0,172.06,12,2,2
12444.0,5005.46,177,20,1
12445.0,133.4,4,21,2
12446.0,1002.3099999999998,58,57,2
12447.0,476.49,26,242,0
12448.0,449.4500000000001,22,43,2
12449.0,4067.2900000000013,191,21,1
12450.0,197.88,8,155,0
12451.0,8933.519999999999,355,10,1
12452.0,428.57000000000005,23,16,2
12453.0,707.0899999999999,43,133,2
12454.0,-5.684341886080802e-14,30,52,2
12455.0,2466.859999999997,90,72,2
12456.0,3153.889999999998,129,43,2
12457.0,1917.78,68,57,2
12458.0,947.4000000000001,38,70,2
12461.0,826.8800000000001,35,93,2
12462.0,1124.0099999999998,72,1,2
12463.0,1303.6299999999997,88,45,2
12464.0,1212.0499999999997,29,9,2
12465.0,733.8900000000001,51,7,2
12468.0,724.04,40,142,2
12472.0,6229.480000000004,391,30,1
12473.0,2848.2299999999996,179,28,1
12474.0,7116.47,457,16,1
12475.0,723.38,36,53,2
12476.0,6546.580000000007,264,0,1
12477.0,13117.009999999993,308,22,1
12478.0,680.9900000000002,36,3,2
12479.0,477.30000000000007,35,3,2
12480.0,3281.6300000000015,154,27,1
12481.0,5590.8600000000015,218,22,1
12483.0,2327.130000000001,81,16,2
12484.0,4495.27,350,32,1
12488.0,1298.6599999999999,55,9,2
12489.0,334.92999999999995,15,335,0
12490.0,5417.9299999999985,245,4,1
12491.0,460.4000000000001,26,38,2
12492.0,263.21,20,62,2
12493.0,416.79,23,165,0
12494.0,1139.3500000000008,84,9,2
12497.0,1043.1,14,81,2
12498.0,403.7,23,20,2
12500.0,4206.2699999999995,65,22,2
12501.0,2089.68,160,314,0
12502.0,3723.87,147,95,1
12503.0,-1126.0,1,337,0
12504.0,114.00000000000003,15,17,2
12505.0,-4.5,1,300,0
12506.0,73.50000000000003,23,232,0
12507.0,1258.06,23,133,2
